"employee_id","sales_count"
3,"6329"
4,"6234"
5,"6194"
6,"6175"
7,"6217"
8,"6254"
9,"6345"
10,"6267"
11,"6286"
12,"6279"
13,"6151"
14,"6357"
15,"6198"
16,"6369"
17,"6407"
18,"6256"
19,"6167"
20,"6232"
21,"6196"
22,"6361"
23,"6374"
24,"6315"
25,"6177"
26,"6281"
27,"6282"
28,"6202"
29,"6302"
30,"6261"
31,"6321"
32,"6343"
33,"6309"
34,"6310"
35,"6310"
36,"6285"
37,"6261"
38,"6305"
39,"6267"
40,"6216"
41,"6263"
42,"6241"
43,"6194"
44,"6293"
45,"6161"
46,"6250"
47,"6329"
48,"6275"
49,"6442"
50,"6282"
51,"6332"
52,"6154"
53,"6427"
54,"6212"
55,"6224"
56,"6332"
57,"6356"
58,"6259"
59,"6371"
60,"6211"
61,"6381"
62,"6231"
63,"6340"
64,"6349"
65,"6340"
66,"6250"
67,"6396"
68,"6116"
69,"6255"
70,"6141"
71,"6115"
72,"6360"
73,"6230"
74,"6372"
75,"6293"
76,"6260"
77,"6259"
78,"6169"
79,"6434"
80,"6177"
81,"6297"
82,"6224"
83,"6336"
84,"6288"
85,"6205"
86,"6301"
87,"6393"
88,"6288"
89,"6190"
90,"6247"
91,"6223"
92,"6263"
93,"6398"
94,"6213"
95,"6213"
96,"6281"
97,"6427"
98,"6139"
99,"6302"
100,"6381"
101,"6233"
102,"6250"
103,"6264"
104,"6099"
105,"6308"
106,"6211"
107,"6327"
108,"6198"
109,"6266"
110,"6417"
111,"6306"
112,"6359"
113,"6399"
114,"6267"
115,"6263"
116,"6375"
117,"6353"
118,"6405"
119,"6333"
120,"6218"
121,"6106"
122,"6351"
123,"6378"
124,"6329"
125,"6196"
126,"6297"
127,"6311"
128,"6190"
129,"6269"
130,"6378"
131,"6341"
132,"6360"
133,"6226"
134,"6322"
135,"6292"
136,"6339"
137,"6319"
138,"6306"
139,"6267"
140,"6313"
141,"6491"
142,"6172"
143,"6197"
144,"6207"
145,"6288"
146,"6181"
147,"6273"
148,"6324"
149,"6305"
150,"6513"
151,"6120"
152,"6290"
153,"6285"
154,"6257"
155,"6264"
156,"6219"
157,"6254"
158,"6314"
159,"6240"
160,"6144"
161,"6368"
162,"6300"
163,"6295"
164,"6300"
165,"6058"
166,"6254"
167,"6364"
168,"6283"
169,"6338"
170,"6285"
171,"6373"
172,"6422"
173,"6252"
174,"6338"
175,"6388"
176,"6398"
177,"6210"
178,"6141"
179,"6337"
180,"6239"
181,"6271"
182,"6284"
183,"6244"
184,"6493"
185,"6248"
186,"6269"
187,"6307"
188,"6470"
189,"6215"
190,"6293"
191,"6215"
192,"6244"
193,"6302"
194,"6188"
195,"6307"
196,"6290"
197,"6411"
198,"6362"
199,"6285"
200,"6343"
201,"6380"
202,"6397"
203,"6268"
204,"6215"
205,"6264"
206,"6178"
207,"6291"
208,"6305"
209,"6358"
210,"6317"
211,"6405"
212,"6186"
213,"6165"
214,"6235"
215,"6213"
216,"6268"
217,"6382"
218,"6385"
219,"6343"
220,"6207"
221,"6309"
222,"6224"
223,"6388"
224,"6290"
225,"6335"
226,"6342"
227,"6335"
228,"6217"
229,"6284"
230,"6298"
231,"6218"
232,"6255"
233,"6311"
234,"6268"
235,"6219"
236,"6250"
237,"6207"
238,"6306"
239,"6296"
240,"6227"
241,"6397"
242,"6371"
243,"6369"
244,"6252"
245,"6251"
246,"6191"
247,"6319"
248,"6253"
249,"6247"
250,"6362"
251,"6272"
252,"6339"
253,"6289"
254,"6367"
255,"6293"
256,"6331"
257,"6170"
258,"6299"
259,"6434"
260,"6152"
261,"6282"
262,"6377"
263,"6271"
264,"6332"
265,"6291"
266,"6355"
267,"6308"
268,"6325"
269,"6412"
270,"6295"
271,"6233"
272,"6399"
273,"6284"
274,"6366"
275,"6394"
276,"6374"
277,"6324"
278,"6298"
279,"6306"
280,"6300"
281,"6236"
282,"6372"
283,"6378"
284,"6483"
285,"6438"
286,"6277"
287,"6333"
288,"6234"
289,"6321"
290,"6315"
291,"6296"
292,"6344"
293,"6304"
294,"6363"
295,"6257"
296,"6236"
297,"6333"
298,"6232"
299,"6159"
300,"6400"
301,"6148"
302,"6277"
303,"6228"
304,"6436"
305,"6235"
306,"6290"
307,"6152"
308,"6489"
309,"6383"
310,"6338"
311,"6233"
312,"6350"
313,"6287"
314,"6292"
315,"6179"
316,"6437"
317,"6306"
318,"6304"
319,"6156"
320,"6201"
